node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.4837,1,4837,-1,#0000ff,0.0,0.0,0.0
544,.,67,-1,0,#0000ff,0.0,0.0,0.0
503,.,114,-1,544,#0000ff,0.0,0.0,0.0
1,123.847,123,847,503,#0000ff,0.0,0.0,0.0
6,138.7076,138,7076,503,#0000ff,0.0,0.0,0.0
499,.,115,-1,503,#0000ff,0.0,0.0,0.0
33,193.518,193,518,499,#0000ff,0.0,0.0,0.0
495,.,117,-1,499,#0000ff,0.0,0.0,0.0
69,259.1962,259,1962,495,#0000ff,0.0,0.0,0.0
93,309.7367,309,7367,495,#0000ff,0.0,0.0,0.0
185,566.7655,566,7655,495,#3300cc,0.2,0.0,0.0
468,.,125,-1,495,#0000ff,0.0,0.0,0.0
82,290.64,290,64,468,#0000ff,0.0,0.0,0.0
106,341.5788,341,5788,468,#0000ff,0.0,0.0,0.0
172,540.7980,540,7980,468,#3300cc,0.2,0.0,0.0
491,.,118,-1,495,#0000ff,0.0,0.0,0.0
137,443.7390,443,7390,491,#0000ff,0.0,0.0,0.0
486,.,119,-1,491,#0000ff,0.0,0.0,0.0
371,.,449,-1,486,#660099,0.4,0.0,0.2
252,675.799,675,799,371,#990066,0.6000000000000001,0.0,0.2
298,.,611,-1,371,#660099,0.4,0.0,0.2
240,652.7180,652,7180,298,#660099,0.4,0.0,0.2
253,675.6508,675,6508,298,#660099,0.4,0.0,0.2
482,.,120,-1,486,#0000ff,0.0,0.0,0.0
20,172.3769,172,3769,482,#0000ff,0.0,0.0,0.0
75,268.8863,268,8863,482,#0000ff,0.0,0.0,0.0
477,.,122,-1,482,#0000ff,0.0,0.0,0.0
72,264.8090,264,8090,477,#0000ff,0.0,0.0,0.2
474,.,123,-1,477,#0000ff,0.0,0.0,0.0
4,136.9757,136,9757,474,#0000ff,0.0,0.0,0.0
30,186.1415,186,1415,474,#0000ff,0.0,0.0,0.0
471,.,124,-1,474,#0000ff,0.0,0.0,0.0
14,163.4546,163,4546,471,#0000ff,0.0,0.0,0.0
451,.,129,-1,471,#0000ff,0.0,0.0,0.0
29,185.1790,185,1790,451,#0000ff,0.0,0.0,0.0
427,.,275,-1,451,#3300cc,0.2,0.0,0.0
110,350.1776,350,1776,427,#3300cc,0.2,0.0,0.0
127,420.3965,420,3965,427,#3300cc,0.2,0.0,0.0
397,.,387,-1,427,#3300cc,0.2,0.0,0.0
138,449.252,449,252,397,#3300cc,0.2,0.0,0.0
382,.,420,-1,397,#3300cc,0.2,0.0,0.0
143,466.8549,466,8549,382,#660099,0.4,0.0,0.0
148,480.5983,480,5983,382,#3300cc,0.2,0.0,0.0
465,.,125,-1,471,#0000ff,0.0,0.0,0.0
7,139.4859,139,4859,465,#0000ff,0.0,0.0,0.0
444,.,142,-1,465,#0000ff,0.0,0.0,0.0
17,165.9301,165,9301,444,#0000ff,0.0,0.0,0.0
62,250.1709,250,1709,444,#0000ff,0.0,0.0,0.0
543,.,77,-1,544,#0000ff,0.0,0.0,0.0
540,.,92,-1,543,#0000ff,0.0,0.0,0.0
440,.,154,-1,540,#0000ff,0.0,0.0,0.0
59,239.993,239,993,440,#0000ff,0.0,0.0,0.0
76,274.3263,274,3263,440,#0000ff,0.0,0.0,0.0
493,.,118,-1,540,#0000ff,0.0,0.0,0.0
45,215.7702,215,7702,493,#0000ff,0.0,0.0,0.0
457,.,128,-1,493,#0000ff,0.0,0.0,0.0
57,237.8362,237,8362,457,#0000ff,0.0,0.0,0.0
442,.,149,-1,457,#0000ff,0.0,0.0,0.0
41,206.5272,206,5272,442,#0000ff,0.0,0.0,0.0
404,.,364,-1,442,#3300cc,0.2,0.2,0.0
251,672.8433,672,8433,404,#660099,0.4,0.2,0.0
385,.,410,-1,404,#3300cc,0.2,0.2,0.0
129,424.2773,424,2773,385,#3300cc,0.2,0.2,0.0
133,435.8311,435,8311,385,#3300cc,0.2,0.2,0.0
538,.,94,-1,540,#0000ff,0.0,0.0,0.0
19,172.1457,172,1457,538,#0000ff,0.0,0.0,0.0
488,.,119,-1,538,#0000ff,0.0,0.0,0.0
37,203.8026,203,8026,488,#0000ff,0.0,0.0,0.0
453,.,129,-1,488,#0000ff,0.0,0.0,0.0
146,478.1176,478,1176,453,#0000ff,0.0,0.0,0.0
381,.,421,-1,453,#3300cc,0.2,0.0,0.0
153,497.7972,497,7972,381,#3300cc,0.2,0.0,0.0
224,632.4553,632,4553,381,#660099,0.4,0.0,0.0
537,.,95,-1,538,#0000ff,0.0,0.0,0.0
198,593.9661,593,9661,537,#0000ff,0.0,0.0,0.0
535,.,96,-1,537,#0000ff,0.0,0.0,0.0
469,.,125,-1,535,#0000ff,0.0,0.0,0.0
422,.,291,-1,469,#660099,0.4,0.0,0.2
112,356.2687,356,2687,422,#660099,0.4,0.0,0.2
411,.,351,-1,422,#660099,0.4,0.0,0.2
400,.,381,-1,411,#660099,0.4,0.0,0.2
274,702.5970,702,5970,400,#660099,0.4,0.0,0.2
358,.,464,-1,400,#660099,0.4,0.0,0.2
178,554.5379,554,5379,358,#660099,0.4,0.0,0.2
281,711.5903,711,5903,358,#660099,0.4,0.0,0.2
408,.,352,-1,411,#660099,0.4,0.0,0.2
391,.,396,-1,408,#660099,0.4,0.0,0.2
230,638.9342,638,9342,391,#660099,0.4,0.0,0.2
376,.,436,-1,391,#660099,0.4,0.0,0.2
337,.,505,-1,376,#660099,0.4,0.0,0.2
209,608.2194,608,2194,337,#660099,0.4,0.0,0.2
270,698.1264,698,1264,337,#660099,0.4,0.0,0.2
349,.,482,-1,376,#660099,0.4,0.0,0.2
218,618.2475,618,2475,349,#660099,0.4,0.0,0.2
343,.,490,-1,349,#660099,0.4,0.0,0.2
164,520.7476,520,7476,343,#660099,0.4,0.0,0.2
187,570.8810,570,8810,343,#660099,0.4,0.0,0.2
402,.,371,-1,408,#660099,0.4,0.0,0.2
328,.,522,-1,402,#660099,0.4,0.0,0.2
169,528.2656,528,2656,328,#660099,0.4,0.0,0.2
212,609.568,609,568,328,#660099,0.4,0.0,0.2
378,.,426,-1,402,#660099,0.4,0.0,0.2
167,523.3743,523,3743,378,#660099,0.4,0.0,0.2
364,.,459,-1,378,#660099,0.4,0.0,0.2
156,505.420,505,420,364,#660099,0.4,0.0,0.2
171,536.9594,536,9594,364,#660099,0.4,0.0,0.2
430,.,239,-1,469,#0000ff,0.0,0.0,0.0
70,260.5450,260,5450,430,#0000ff,0.0,0.0,0.0
98,324.6591,324,6591,430,#0000ff,0.0,0.0,0.2
483,.,120,-1,535,#0000ff,0.0,0.0,0.0
458,.,127,-1,483,#0000ff,0.0,0.0,0.0
431,.,238,-1,458,#3300cc,0.2,0.0,0.0
420,.,311,-1,431,#3300cc,0.2,0.0,0.0
125,403.7473,403,7473,420,#3300cc,0.2,0.0,0.0
418,.,314,-1,420,#3300cc,0.2,0.0,0.0
118,383.6877,383,6877,418,#3300cc,0.2,0.0,0.0
417,.,318,-1,418,#3300cc,0.2,0.0,0.0
160,514.74,514,74,417,#3300cc,0.2,0.0,0.0
213,610.6181,610,6181,417,#660099,0.4,0.0,0.0
429,.,249,-1,431,#3300cc,0.2,0.0,0.0
81,288.421,288,421,429,#3300cc,0.2,0.0,0.0
414,.,327,-1,429,#3300cc,0.2,0.0,0.0
406,.,356,-1,414,#3300cc,0.2,0.0,0.0
200,596.9866,596,9866,406,#990066,0.6000000000000001,0.0,0.0
360,.,461,-1,406,#3300cc,0.2,0.0,0.0
191,575.7110,575,7110,360,#3300cc,0.2,0.0,0.0
345,.,488,-1,360,#3300cc,0.2,0.0,0.0
152,492.3660,492,3660,345,#3300cc,0.2,0.0,0.0
155,502.7851,502,7851,345,#660099,0.4,0.0,0.0
410,.,351,-1,414,#3300cc,0.2,0.0,0.0
126,411.3184,411,3184,410,#3300cc,0.2,0.0,0.0
407,.,352,-1,410,#3300cc,0.2,0.0,0.0
159,513.6238,513,6238,407,#3300cc,0.2,0.0,0.0
161,514.8150,514,8150,407,#3300cc,0.2,0.0,0.0
398,.,385,-1,407,#3300cc,0.2,0.0,0.0
139,450.4096,450,4096,398,#3300cc,0.2,0.0,0.0
353,.,472,-1,398,#3300cc,0.2,0.0,0.0
204,602.4522,602,4522,353,#3300cc,0.2,0.0,0.0
312,.,549,-1,353,#3300cc,0.2,0.0,0.0
217,617.94,617,94,312,#3300cc,0.2,0.0,0.0
219,620.4714,620,4714,312,#3300cc,0.2,0.0,0.0
425,.,284,-1,429,#3300cc,0.2,0.0,0.0
144,471.8571,471,8571,425,#3300cc,0.2,0.0,0.0
166,522.3481,522,3481,425,#3300cc,0.2,0.0,0.0
436,.,188,-1,458,#0000ff,0.0,0.0,0.0
91,306.7745,306,7745,436,#0000ff,0.0,0.0,0.0
121,395.1018,395,1018,436,#0000ff,0.0,0.0,0.0
476,.,123,-1,483,#0000ff,0.0,0.0,0.0
21,173.4306,173,4306,476,#0000ff,0.0,0.0,0.0
97,323.590,323,590,476,#3300cc,0.2,0.0,0.0
103,335.432,335,432,97,#3300cc,0.2,0.0,0.0
534,.,97,-1,535,#0000ff,0.0,0.0,0.0
15,164.1807,164,1807,534,#0000ff,0.0,0.0,0.0
446,.,135,-1,534,#0000ff,0.0,0.0,0.0
101,330.6437,330,6437,446,#0000ff,0.0,0.0,0.0
434,.,208,-1,446,#0000ff,0.0,0.0,0.0
201,596.9133,596,9133,434,#3300cc,0.2,0.0,0.0
409,.,352,-1,434,#3300cc,0.2,0.0,0.0
193,576.4626,576,4626,409,#3300cc,0.2,0.0,0.0
405,.,357,-1,409,#3300cc,0.2,0.0,0.0
115,363.1488,363,1488,405,#3300cc,0.2,0.0,0.0
117,375.5280,375,5280,405,#3300cc,0.2,0.0,0.0
517,.,108,-1,534,#0000ff,0.0,0.0,0.0
448,.,135,-1,517,#0000ff,0.0,0.0,0.0
34,198.7132,198,7132,448,#0000ff,0.0,0.0,0.0
51,227.7526,227,7526,448,#0000ff,0.0,0.0,0.0
456,.,128,-1,517,#0000ff,0.0,0.0,0.0
46,217.6371,217,6371,456,#0000ff,0.0,0.0,0.0
346,.,487,-1,456,#3300cc,0.2,0.0,0.0
158,506.6797,506,6797,346,#3300cc,0.2,0.0,0.0
202,597.2269,597,2269,346,#3300cc,0.2,0.0,0.0
533,.,98,-1,534,#0000ff,0.0,0.0,0.0
510,.,113,-1,533,#0000ff,0.0,0.0,0.0
63,250.5730,250,5730,510,#0000ff,0.0,0.0,0.0
501,.,115,-1,510,#0000ff,0.0,0.0,0.0
53,228.6689,228,6689,501,#0000ff,0.0,0.0,0.0
64,251.4750,251,4750,501,#0000ff,0.0,0.0,0.0
529,.,101,-1,533,#0000ff,0.0,0.0,0.0
18,170.2444,170,2444,529,#0000ff,0.0,0.0,0.0
61,242.7139,242,7139,529,#0000ff,0.0,0.0,0.0
532,.,99,-1,533,#0000ff,0.0,0.0,0.0
508,.,113,-1,532,#0000ff,0.0,0.0,0.0
462,.,127,-1,508,#3300cc,0.2,0.0,0.0
416,.,321,-1,462,#3300cc,0.2,0.0,0.0
102,332.6475,332,6475,416,#3300cc,0.2,0.0,0.0
135,440.4450,440,4450,416,#3300cc,0.2,0.0,0.0
423,.,290,-1,462,#660099,0.4,0.0,0.0
181,558.5197,558,5197,423,#990066,0.6000000000000001,0.0,0.2
354,.,468,-1,423,#660099,0.4,0.0,0.0
165,522.144,522,144,354,#660099,0.4,0.0,0.0
344,.,489,-1,354,#660099,0.4,0.0,0.0
195,578.877,578,877,344,#660099,0.4,0.0,0.0
210,609.160,609,160,344,#660099,0.4,0.0,0.0
500,.,115,-1,508,#0000ff,0.0,0.0,0.0
10,153.8135,153,8135,500,#0000ff,0.0,0.0,0.0
22,173.8901,173,8901,500,#0000ff,0.0,0.0,0.2
428,.,275,-1,500,#0000ff,0.0,0.2,0.2
90,304.2783,304,2783,428,#0000ff,0.0,0.2,0.2
189,573.5482,573,5482,428,#0000ff,0.0,0.2,0.4
531,.,100,-1,532,#0000ff,0.0,0.0,0.0
73,266.7703,266,7703,531,#0000ff,0.0,0.0,0.0
461,.,127,-1,531,#0000ff,0.0,0.0,0.0
9,150.3987,150,3987,461,#0000ff,0.0,0.0,0.0
67,255.4591,255,4591,461,#0000ff,0.0,0.0,0.0
512,.,111,-1,531,#0000ff,0.0,0.0,0.0
78,280.8100,280,8100,512,#0000ff,0.0,0.0,0.0
496,.,117,-1,512,#0000ff,0.0,0.0,0.0
28,184.5382,184,5382,496,#0000ff,0.0,0.0,0.0
310,.,560,-1,496,#3300cc,0.2,0.0,0.0
205,603.3328,603,3328,310,#3300cc,0.2,0.0,0.0
250,672.2595,672,2595,310,#3300cc,0.2,0.0,0.0
467,.,125,-1,496,#0000ff,0.0,0.0,0.0
352,.,475,-1,467,#0000ff,0.0,0.0,0.4
162,520.3622,520,3622,352,#0000ff,0.0,0.0,0.4
214,610.8614,610,8614,352,#0000ff,0.0,0.0,0.4
443,.,142,-1,467,#3300cc,0.2,0.0,0.0
74,268.8249,268,8249,443,#3300cc,0.2,0.0,0.0
439,.,161,-1,443,#3300cc,0.2,0.0,0.0
31,189.1310,189,1310,439,#3300cc,0.2,0.0,0.0
174,542.2174,542,2174,439,#660099,0.4,0.0,0.0
492,.,118,-1,496,#0000ff,0.0,0.0,0.0
83,291.4800,291,4800,492,#0000ff,0.0,0.0,0.0
487,.,119,-1,492,#0000ff,0.0,0.0,0.0
47,220.9129,220,9129,487,#0000ff,0.0,0.0,0.0
484,.,120,-1,487,#0000ff,0.0,0.0,0.0
2,128.8594,128,8594,484,#0000ff,0.0,0.0,0.0
475,.,123,-1,484,#0000ff,0.0,0.0,0.0
48,224.5629,224,5629,475,#0000ff,0.0,0.0,0.0
52,228.6180,228,6180,475,#0000ff,0.0,0.0,0.0
466,.,125,-1,475,#0000ff,0.0,0.0,0.0
140,460.6575,460,6575,466,#3300cc,0.2,0.0,0.0
460,.,127,-1,466,#0000ff,0.0,0.0,0.0
116,367.8279,367,8279,460,#0000ff,0.0,0.0,0.0
455,.,128,-1,460,#0000ff,0.0,0.0,0.0
23,174.787,174,787,455,#0000ff,0.0,0.0,0.0
95,313.8093,313,8093,455,#0000ff,0.0,0.0,0.0
528,.,101,-1,531,#0000ff,0.0,0.0,0.0
490,.,118,-1,528,#0000ff,0.0,0.0,0.0
12,154.8802,154,8802,490,#0000ff,0.0,0.0,0.0
60,241.7886,241,7886,12,#0000ff,0.0,0.0,0.0
24,177.3191,177,3191,490,#0000ff,0.0,0.0,0.0
86,301.1596,301,1596,490,#0000ff,0.0,0.0,0.0
104,338.3308,338,3308,86,#0000ff,0.0,0.0,0.0
502,.,115,-1,528,#0000ff,0.0,0.0,0.0
441,.,151,-1,502,#0000ff,0.0,0.0,0.0
96,319.1329,319,1329,441,#0000ff,0.0,0.0,0.0
107,343.3909,343,3909,441,#0000ff,0.0,0.0,0.0
470,.,125,-1,502,#0000ff,0.0,0.0,0.0
8,144.2593,144,2593,470,#0000ff,0.0,0.0,0.0
454,.,129,-1,470,#0000ff,0.0,0.0,0.0
438,.,165,-1,454,#0000ff,0.0,0.0,0.0
44,209.8559,209,8559,438,#0000ff,0.0,0.0,0.0
66,253.1149,253,1149,438,#0000ff,0.0,0.0,0.0
450,.,130,-1,454,#0000ff,0.0,0.0,0.0
56,232.4806,232,4806,450,#0000ff,0.0,0.0,0.0
