node_id,name,node_time,subpop_id,parent_id,color_trait_0,transmissibility_1
0,1.179,1,179,-1,#fde725,0.0
1,1.1512,1,1512,-1,#440154,0.0
2,1.4664,1,4664,-1,#3b528b,1.6624538584660749
3,1.5758,1,5758,-1,#21918c,1.6624538584660749
300,.,9,-1,3,#21918c,1.6624538584660749
293,.,26,-1,300,#21918c,1.6624538584660749
287,.,54,-1,293,#21918c,1.6624538584660749
271,.,105,-1,287,#21918c,1.6624538584660749
10,560.4167,560,4167,271,#21918c,1.6624538584660749
262,.,131,-1,271,#21918c,1.6624538584660749
48,1206.3419,1206,3419,262,#21918c,1.6624538584660749
158,.,664,-1,262,#21918c,1.6624538584660749
42,1131.3089,1131,3089,158,#21918c,1.6624538584660749
107,2500.8125,2500,8125,158,#21918c,1.6624538584660749
280,.,80,-1,287,#21918c,1.6624538584660749
267,.,110,-1,280,#21918c,1.6624538584660749
253,.,149,-1,267,#21918c,1.6624538584660749
125,3015.7243,3015,7243,253,#21918c,1.6624538584660749
250,.,156,-1,253,#21918c,1.6624538584660749
192,.,242,-1,250,#21918c,1.6624538584660749
138,3289.5878,3289,5878,192,#21918c,1.6624538584660749
172,.,307,-1,192,#21918c,1.6624538584660749
81,1907.4773,1907,4773,172,#21918c,1.6624538584660749
133,3192.1508,3192,1508,172,#21918c,1.6624538584660749
233,.,177,-1,250,#21918c,1.6624538584660749
80,1837.1279,1837,1279,233,#21918c,1.6624538584660749
183,.,267,-1,233,#21918c,1.6624538584660749
75,1766.6189,1766,6189,183,#21918c,1.6624538584660749
78,1831.8668,1831,8668,183,#21918c,1.6624538584660749
266,.,116,-1,267,#21918c,1.6624538584660749
60,1578.853,1578,853,266,#21918c,1.6624538584660749
222,.,193,-1,266,#21918c,1.6624538584660749
40,1123.1054,1123,1054,222,#21918c,1.6624538584660749
151,3585.2162,3585,2162,222,#21918c,1.6624538584660749
269,.,109,-1,280,#21918c,1.6624538584660749
102,2321.4682,2321,4682,269,#21918c,1.6624538584660749
259,.,137,-1,269,#21918c,1.6624538584660749
12,607.1095,607,1095,259,#21918c,1.6624538584660749
23,827.3845,827,3845,259,#21918c,1.6624538584660749
291,.,32,-1,293,#21918c,1.6624538584660749
273,.,103,-1,291,#21918c,1.6624538584660749
208,.,215,-1,273,#21918c,1.6624538584660749
24,856.7959,856,7959,208,#21918c,1.6624538584660749
202,.,224,-1,208,#21918c,1.6624538584660749
20,771.3227,771,3227,202,#21918c,1.6624538584660749
189,.,250,-1,202,#21918c,1.6624538584660749
124,3010.3792,3010,3792,189,#21918c,1.6624538584660749
165,.,362,-1,189,#21918c,1.6624538584660749
73,1741.5753,1741,5753,165,#21918c,1.6624538584660749
95,2184.7232,2184,7232,165,#21918c,1.6624538584660749
238,.,171,-1,273,#21918c,1.6624538584660749
18,705.7072,705,7072,238,#21918c,1.6624538584660749
199,.,228,-1,238,#21918c,1.6624538584660749
14,635.3580,635,3580,199,#21918c,1.6624538584660749
136,3198.5899,3198,5899,199,#21918c,1.6624538584660749
286,.,56,-1,291,#21918c,1.6624538584660749
255,.,147,-1,286,#21918c,1.6624538584660749
21,805.9114,805,9114,255,#21918c,1.6624538584660749
241,.,165,-1,255,#21918c,1.6624538584660749
130,3170.4002,3170,4002,241,#21918c,1.6624538584660749
218,.,203,-1,241,#21918c,1.6624538584660749
58,1514.1818,1514,1818,218,#21918c,1.6624538584660749
100,2293.3876,2293,3876,218,#21918c,1.6624538584660749
285,.,60,-1,286,#21918c,1.6624538584660749
193,.,241,-1,285,#21918c,1.6624538584660749
68,1703.3036,1703,3036,193,#21918c,1.6624538584660749
160,.,425,-1,193,#21918c,1.6624538584660749
109,2577.1913,2577,1913,160,#21918c,1.6624538584660749
126,3122.8900,3122,8900,160,#21918c,1.6624538584660749
275,.,99,-1,285,#21918c,1.6624538584660749
67,1684.1573,1684,1573,275,#21918c,1.6624538584660749
113,2688.335,2688,335,275,#21918c,1.6624538584660749
294,.,22,-1,300,#21918c,1.6624538584660749
263,.,126,-1,294,#21918c,1.6624538584660749
219,.,203,-1,263,#21918c,1.6624538584660749
117,2876.4736,2876,4736,219,#21918c,1.6624538584660749
145,3452.8995,3452,8995,219,#21918c,1.6624538584660749
223,.,192,-1,263,#21918c,1.6624538584660749
180,.,276,-1,223,#21918c,1.6624538584660749
31,934.4997,934,4997,180,#21918c,1.6624538584660749
127,3140.6171,3140,6171,180,#21918c,1.6624538584660749
214,.,205,-1,223,#21918c,1.6624538584660749
46,1174.2383,1174,2383,214,#21918c,1.6624538584660749
134,3192.5785,3192,5785,214,#21918c,1.6624538584660749
288,.,54,-1,294,#21918c,1.6624538584660749
274,.,101,-1,288,#21918c,1.6624538584660749
112,2669.9635,2669,9635,274,#21918c,1.6624538584660749
147,3512.5706,3512,5706,274,#21918c,1.6624538584660749
284,.,63,-1,288,#21918c,1.6624538584660749
272,.,104,-1,284,#21918c,1.6624538584660749
186,.,256,-1,272,#21918c,1.6624538584660749
62,1632.473,1632,473,186,#21918c,1.6624538584660749
163,.,385,-1,186,#21918c,1.6624538584660749
118,2916.4372,2916,4372,163,#21918c,1.6624538584660749
